,Name,avg_yearly_returns,yearly_variance
0,A,0.09639638194481136,0.06376760259305345
1,AAL,0.30140232283893825,0.2569756807132663
2,AAP,0.09969488695202645,0.10208407229123032
3,AAPL,0.17445982957741543,0.04798919053198693
4,ABBV,0.23259686084893083,0.05556675901438039
5,ABC,0.1496982694289778,0.06291547981072801
6,ABT,0.10807220855092521,0.04396968703765656
7,ACN,0.14062162128403474,0.009292570524747001
8,ADBE,0.33266813338921764,0.05946764211672641
9,ADI,0.12919070342941172,0.020361760123643147
10,ADM,0.08810176773253471,0.07138630607350598
11,ADP,0.1257521916453823,0.019063610860531398
12,ADS,0.11105350742931876,0.09459537349279344
13,ADSK,0.20281899047556332,0.02199331285768599
14,AEE,0.09268865181586129,0.022562156948285242
15,AEP,0.07265767294378696,0.021667291075288482
16,AES,0.011234533141517391,0.05007677476751279
17,AET,0.24922033810998026,0.025437267508209193
18,AFL,0.10363162247896324,0.029572999732285978
19,AGN,0.19199764558976407,0.2242815861201907
20,AIG,0.083925899247547,0.01865589708327659
21,AIV,0.07598218695183147,0.03959828623001767
22,AIZ,0.17647310124005577,0.08386481603769808
23,AJG,0.10893084092684968,0.026498907254419356
24,AKAM,0.12311156313167239,0.048687512923173214
25,ALB,0.1271689623380283,0.09604611878669182
26,ALGN,0.454728291521618,0.2589742734909727
27,ALK,0.2172855996687388,0.11283878990299341
28,ALL,0.15871588272754064,0.04425930926545174
29,ALLE,0.13240165919435892,0.01694777230291889
30,ALXN,0.07237576872067777,0.08615987316259288
31,AMAT,0.293086723282586,0.14754292011953357
32,AMD,0.5606251942831009,1.6113750461965846
33,AME,0.11865508757385486,0.045602798047688686
34,AMG,0.07387003264159238,0.08454138702867983
35,AMGN,0.14112467976537812,0.03665357730150036
36,AMP,0.19933032146146093,0.12517480808236284
37,AMT,0.11445419807825297,0.021464967048581005
38,AMZN,0.3934237271643988,0.22129499751456283
39,ANDV,0.13441812201295125,0.05599145504129226
40,ANSS,0.14762994346033717,0.052061488209204386
41,ANTM,0.2546812987749156,0.04613393103621031
42,AON,0.1788221724874104,0.03382241457738321
43,AOS,0.2517946551152616,0.03939642779321274
44,APA,-0.086489926285523,0.08484026577263952
45,APC,-0.021809203651039662,0.08368097566548985
46,APD,0.116870825237945,0.025173855997230037
47,APH,0.17924352375945693,0.024606818317185048
48,APTV,0.10366356461302859,
49,ARE,0.10080998236227685,0.04189667355702807
50,ARNC,0.05591719190293084,0.1492612064852296
51,ATVI,0.36136863681637754,0.1486610020741542
52,AVB,0.04827741306705174,0.03314904503265423
53,AVGO,0.40653993317265996,0.10532068914210528
54,AVY,0.21325183436481668,0.05141646445363483
55,AWK,0.1344989975074227,0.024167742669961773
56,AXP,0.09744732032128912,0.06781969164100225
57,AYI,0.18425769137537581,0.14475586554668096
58,AZO,0.1216436539333454,0.0235950002169762
59,BA,0.3318244835995056,0.1536846896144621
60,BAC,0.18143875408579532,0.027683577141807737
61,BAX,0.03529399355078177,0.09352400214240805
62,BBT,0.10493521396889748,0.013396880108755038
63,BBY,0.3961946235673352,0.41217808653961274
64,BDX,0.17795004300855446,0.013497742199691872
65,BEN,-0.008058083948238752,0.040355875386091734
66,BF.B,0.13933908298652575,0.04645734380119377
67,BHF,0.015141087405368249,
68,BHGE,-0.09145380006307165,
69,BIIB,0.14902626969541388,0.08874091737519324
70,BK,0.12803999976740862,0.00944726337917989
71,BLK,0.15442618977963088,0.024929951160899765
72,BLL,0.10190509392809594,0.014715912846233867
73,BMY,0.11109949902006028,0.03885013265824458
74,BRK.B,0.1375551093785675,0.025875890931273276
75,BSX,0.24181562712180085,0.03960168202775803
76,BWA,0.09441172430136201,0.0709251139450937
77,BXP,0.02324616803972494,0.018545437722861626
78,C,0.10020110606174974,0.013919737563046175
79,CA,0.06286859237669508,0.02650123332047402
80,CAG,0.017526634788122383,0.007764950453931723
81,CAH,0.08828812891742986,0.06100308575237927
82,CAT,0.12265301150452662,0.11757292978357661
83,CB,0.10068212613357148,0.006487475439191648
84,CBG,0.11091542228238847,0.03185026906185884
85,CBOE,0.25035470556121314,0.0879545027742642
86,CBS,0.06947253623481874,0.08381671958192796
87,CCI,0.08098382692013163,0.01044800805306094
88,CCL,0.10292192022466813,0.013644314073862032
89,CDNS,0.21163829230599215,0.07100043929883078
90,CELG,0.1474740203335813,0.10027236092087097
91,CERN,0.08856132893302632,0.05593332959619883
92,CF,-0.0028279609301842972,0.051074859741971325
93,CFG,0.16138180007718042,0.02455174109292564
94,CHD,0.08690742980918627,0.006985234373902578
95,CHK,-0.14240801871552902,0.25748057180356015
96,CHRW,0.09016384287195549,0.029734948609982277
97,CHTR,0.30583332555731735,0.07325497099193318
98,CI,0.23475279196332333,0.06438278300938986
99,CINF,0.09314913508683152,0.018404867390727907
100,CL,0.04937170844109747,0.01060122832614383
101,CLX,0.09033880349278334,0.02258959281293716
102,CMA,0.20648789088320266,0.08214525369451879
103,CMCSA,0.13862178360570498,0.020701192859296925
104,CME,0.1963678664340842,0.018538868462137002
105,CMG,0.029351600714600985,0.14674609421126844
106,CMI,0.10814338286464253,0.10615588106771696
107,CMS,0.09327582811549918,0.019094730273120593
108,CNC,0.32923330880729823,0.1352062684647732
109,CNP,0.05517619463227996,0.03806709195687868
110,COF,0.10370299689309383,0.028057055180999657
111,COG,0.03031810932159948,0.11603091482322381
112,COL,0.1547358583925668,0.027767245734131953
113,COO,0.1599481967472279,0.03630395586123886
114,COP,0.009423568685570262,0.03266910614906229
115,COST,0.10563786522992076,0.008376055367558267
116,COTY,0.05356315990898976,0.06544260097054287
117,CPB,0.04315349325170811,0.025101562216266315
118,CRM,0.18513333222534642,0.04515737568382102
119,CSCO,0.12304517715443179,0.013856728797811909
120,CSRA,0.01861158877330061,0.005574520830558991
121,CSX,0.19995039580836513,0.09266107816224892
122,CTAS,0.24755523783263844,0.021418429085541552
123,CTL,-0.11554533582057473,0.053807867532067864
124,CTSH,0.12427472923106654,0.015581914584005263
125,CTXS,0.03999567879380431,0.015883400737995025
126,CVS,0.08593908250304189,0.056247122048189754
127,CVX,0.013887723266222743,0.032596470896273086
128,CXO,0.09062153521576417,0.03612196458810748
129,D,0.061761164493333964,0.01979665752409534
130,DAL,0.2943403819113036,0.17737597410555223
131,DE,0.12056805508933083,0.06468806733560203
132,DFS,0.13477710182341765,0.051876669548128876
133,DG,0.14179378838230453,0.016434910541274134
134,DGX,0.09951403824929643,0.022860834459781588
135,DHI,0.16454643909641484,0.13385494545347515
136,DHR,0.09029118294098847,0.021385704435944636
137,DIS,0.12399490358095243,0.02844135821068113
138,DISCA,-0.1176430229037571,0.09344198453484183
139,DISCK,-0.110015345826888,0.09788945053528533
140,DISH,0.06324253967728562,0.08757637118619238
141,DLR,0.10074820840232163,0.052328299530371866
142,DLTR,0.19121427241521824,0.0376261797412958
143,DOV,0.08484880251400456,0.06834608630446477
144,DPS,0.18188350830809916,0.03210356316290964
145,DRE,0.0880920822865895,0.0284710543363897
146,DRI,0.12637562314008724,0.01212840282771858
147,DTE,0.08506068663484966,0.026394240212091837
148,DUK,0.02065955618297802,0.01821945281689529
149,DVA,0.04315248785527153,0.011291000321978984
150,DVN,-0.03986937744188434,0.08680136122633418
151,DWDP,-0.013553164733827007,
152,DXC,0.01243414120126441,
153,EA,0.41791841705259886,0.10934052935187381
154,EBAY,-0.008433243739614939,0.07096207316207312
155,ECL,0.11453761782591117,0.02517152782578732
156,ED,0.055221769942139474,0.016346020330736684
157,EFX,0.14066290098826167,0.02183503666886496
158,EIX,0.05845358419110552,0.04731310522423807
159,EL,0.15702775379573933,0.06966652430409051
160,EMN,0.0595629694382712,0.0153707237761222
161,EMR,0.04659448949030404,0.03791018684664348
162,EOG,0.10430243176743648,0.05312829825542613
163,EQIX,0.1375814364420561,0.04212751565438203
164,EQR,0.021313187400228455,0.04442763140739214
165,EQT,-0.008159062373706684,0.08750107831140042
166,ES,0.06393047024626895,0.017365930827573685
167,ESRX,0.06434286128476377,0.0276875586263527
168,ESS,0.07777722217447212,0.04197473635610584
169,ETFC,0.30920785663844047,0.06809214744387239
170,ETN,0.07644914059095663,0.048618068603277075
171,ETR,0.03597140063319523,0.04319624659904026
172,EVHC,-0.22682776175380245,0.10984069794374428
173,EW,0.24928483022963857,0.1454139373085935
174,EXC,0.04643266393854802,0.05893455912691936
175,EXPD,0.06259072361207721,0.012547415306884269
176,EXPE,0.13468190256407211,0.03349724390156471
177,EXR,0.1460043472796187,0.06406094554835867
178,F,-0.025903343468110337,0.014591558424073826
179,FAST,0.01506593372117781,0.015136596072536437
180,FB,0.3849727151375713,0.09655138069367501
181,FBHS,0.1250634847913957,0.03424653161968898
182,FCX,0.051149391020244885,0.36028843548538186
183,FDX,0.171554169134659,0.039540651006987004
184,FE,-0.03492229570993249,0.018773497025726855
185,FFIV,0.08863355936219446,0.10328711886888298
186,FIS,0.18501014931506587,0.02940297161027942
187,FISV,0.22362585023025824,0.025664966064920046
188,FITB,0.12667124538571337,0.02785758742160837
189,FL,0.07902182351807398,0.05612306044110663
190,FLIR,0.11555733724947158,0.025080980984964817
191,FLR,-0.0032981119536804396,0.038622020677045545
192,FLS,-0.0013893641583525497,0.09240433963601222
193,FMC,0.12287963011207874,0.16491509015093767
194,FOX,0.019270831222610682,0.03177676215999897
195,FOXA,0.017209271760495203,0.036080380660198905
196,FRT,0.016057858619185225,0.028190238452858996
197,FTI,-0.05222453922564069,0.04252760212621219
198,FTV,0.1623694895787039,0.06492977187963916
199,GD,0.22839888699667144,0.03644911565167217
200,GE,-0.027512955773871032,0.06748613721977918
201,GGP,0.027056831899070915,0.03427604163283095
